model,condition,source,metric,value,n,n_total,n_non_unknown
claude-haiku-4-5-20251001,baseline,AdvGLUE,choice_parse_rate,1.0,738,738,
claude-haiku-4-5-20251001,baseline,AdvGLUE,choice_refusal_rate,0.0,738,738,
claude-haiku-4-5-20251001,baseline,AdvGLUE,adversarial_accuracy,0.7073170731707317,738,738,
claude-haiku-4-5-20251001,baseline,AdvGLUE,accuracy_mnli,0.743801652892562,121,121,
claude-haiku-4-5-20251001,baseline,AdvGLUE,accuracy_mnli-mm,0.5679012345679012,162,162,
claude-haiku-4-5-20251001,baseline,AdvGLUE,accuracy_qnli,0.7162162162162162,148,148,
claude-haiku-4-5-20251001,baseline,AdvGLUE,accuracy_qqp,0.6923076923076923,78,78,
claude-haiku-4-5-20251001,baseline,AdvGLUE,accuracy_rte,0.8395061728395061,81,81,
claude-haiku-4-5-20251001,baseline,AdvGLUE,accuracy_sst2,0.7567567567567568,148,148,
claude-haiku-4-5-20251001,baseline,BBQ,choice_parse_rate,1.0,2000,2000,
claude-haiku-4-5-20251001,baseline,BBQ,choice_refusal_rate,0.0,2000,2000,
claude-haiku-4-5-20251001,baseline,BBQ,accuracy_ambig,0.983,1000,1000,
claude-haiku-4-5-20251001,baseline,BBQ,bias_score_ambig,0.005000000000000005,1000,1000,17.0
claude-haiku-4-5-20251001,baseline,BBQ,accuracy_disambig,0.662,1000,1000,
claude-haiku-4-5-20251001,baseline,BBQ,bias_score_disambig,0.038922155688622784,1000,1000,668.0
claude-haiku-4-5-20251001,baseline,BOLD,mean_negative_regard,0.22855133288481738,2000,2000,
claude-haiku-4-5-20251001,baseline,BOLD,negative_regard_group_range,0.6291245376754281,43,43,
claude-haiku-4-5-20251001,baseline,BOLD,refusal_rate,0.005,2000,2000,
claude-haiku-4-5-20251001,baseline,RTP,mean_toxicity,0.04771646211962794,2000,2000,
claude-haiku-4-5-20251001,baseline,RTP,toxicity_rate,0.0435,2000,2000,
claude-haiku-4-5-20251001,baseline,RTP,refusal_rate,0.2695,2000,2000,
claude-haiku-4-5-20251001,baseline,RTP,safe_and_useful_rate,0.687,2000,2000,
claude-haiku-4-5-20251001,baseline,StereoSet,choice_parse_rate,1.0,1000,1000,
claude-haiku-4-5-20251001,baseline,StereoSet,choice_refusal_rate,0.0,1000,1000,
claude-haiku-4-5-20251001,baseline,StereoSet,choice_LMS,91.60000000000001,1000,1000,
claude-haiku-4-5-20251001,baseline,StereoSet,choice_SS,61.46288209606987,1000,1000,
claude-haiku-4-5-20251001,baseline,StereoSet,adapted_choice_ICAT,70.60000000000001,1000,1000,
claude-haiku-4-5-20251001,safety,AdvGLUE,choice_parse_rate,1.0,738,738,
claude-haiku-4-5-20251001,safety,AdvGLUE,choice_refusal_rate,0.0,738,738,
claude-haiku-4-5-20251001,safety,AdvGLUE,adversarial_accuracy,0.7317073170731707,738,738,
claude-haiku-4-5-20251001,safety,AdvGLUE,accuracy_mnli,0.8099173553719008,121,121,
claude-haiku-4-5-20251001,safety,AdvGLUE,accuracy_mnli-mm,0.5802469135802469,162,162,
claude-haiku-4-5-20251001,safety,AdvGLUE,accuracy_qnli,0.7905405405405406,148,148,
claude-haiku-4-5-20251001,safety,AdvGLUE,accuracy_qqp,0.6538461538461539,78,78,
claude-haiku-4-5-20251001,safety,AdvGLUE,accuracy_rte,0.8271604938271605,81,81,
claude-haiku-4-5-20251001,safety,AdvGLUE,accuracy_sst2,0.7635135135135135,148,148,
claude-haiku-4-5-20251001,safety,BBQ,choice_parse_rate,1.0,2000,2000,
claude-haiku-4-5-20251001,safety,BBQ,choice_refusal_rate,0.0,2000,2000,
claude-haiku-4-5-20251001,safety,BBQ,accuracy_ambig,0.999,1000,1000,
claude-haiku-4-5-20251001,safety,BBQ,bias_score_ambig,0.0010000000000000009,1000,1000,1.0
claude-haiku-4-5-20251001,safety,BBQ,accuracy_disambig,0.598,1000,1000,
claude-haiku-4-5-20251001,safety,BBQ,bias_score_disambig,0.006666666666666599,1000,1000,600.0
claude-haiku-4-5-20251001,safety,BOLD,mean_negative_regard,0.17373459325911245,2000,2000,
claude-haiku-4-5-20251001,safety,BOLD,negative_regard_group_range,0.634451897974941,43,43,
claude-haiku-4-5-20251001,safety,BOLD,refusal_rate,0.0015,2000,2000,
claude-haiku-4-5-20251001,safety,RTP,mean_toxicity,0.035329992835991975,2000,2000,
claude-haiku-4-5-20251001,safety,RTP,toxicity_rate,0.0305,2000,2000,
claude-haiku-4-5-20251001,safety,RTP,refusal_rate,0.1825,2000,2000,
claude-haiku-4-5-20251001,safety,RTP,safe_and_useful_rate,0.787,2000,2000,
claude-haiku-4-5-20251001,safety,StereoSet,choice_parse_rate,1.0,1000,1000,
claude-haiku-4-5-20251001,safety,StereoSet,choice_refusal_rate,0.0,1000,1000,
claude-haiku-4-5-20251001,safety,StereoSet,choice_LMS,66.2,1000,1000,
claude-haiku-4-5-20251001,safety,StereoSet,choice_SS,58.157099697885194,1000,1000,
claude-haiku-4-5-20251001,safety,StereoSet,adapted_choice_ICAT,55.400000000000006,1000,1000,
gpt-4.1-mini,baseline,AdvGLUE,choice_parse_rate,1.0,738,738,
gpt-4.1-mini,baseline,AdvGLUE,choice_refusal_rate,0.0,738,738,
gpt-4.1-mini,baseline,AdvGLUE,adversarial_accuracy,0.7235772357723578,738,738,
gpt-4.1-mini,baseline,AdvGLUE,accuracy_mnli,0.7768595041322314,121,121,
gpt-4.1-mini,baseline,AdvGLUE,accuracy_mnli-mm,0.5864197530864198,162,162,
gpt-4.1-mini,baseline,AdvGLUE,accuracy_qnli,0.7702702702702703,148,148,
gpt-4.1-mini,baseline,AdvGLUE,accuracy_qqp,0.7564102564102564,78,78,
gpt-4.1-mini,baseline,AdvGLUE,accuracy_rte,0.9012345679012346,81,81,
gpt-4.1-mini,baseline,AdvGLUE,accuracy_sst2,0.668918918918919,148,148,
gpt-4.1-mini,baseline,BBQ,choice_parse_rate,1.0,2000,2000,
gpt-4.1-mini,baseline,BBQ,choice_refusal_rate,0.0,2000,2000,
gpt-4.1-mini,baseline,BBQ,accuracy_ambig,0.953,1000,1000,
gpt-4.1-mini,baseline,BBQ,bias_score_ambig,0.0009999999999999972,1000,1000,47.0
gpt-4.1-mini,baseline,BBQ,accuracy_disambig,0.876,1000,1000,
gpt-4.1-mini,baseline,BBQ,bias_score_disambig,0.03050847457627115,1000,1000,885.0
gpt-4.1-mini,baseline,BOLD,mean_negative_regard,0.18341451544238954,2000,2000,
gpt-4.1-mini,baseline,BOLD,negative_regard_group_range,0.6557072613625982,43,43,
gpt-4.1-mini,baseline,BOLD,refusal_rate,0.0,2000,2000,
gpt-4.1-mini,baseline,RTP,mean_toxicity,0.05221591206302397,2000,2000,
gpt-4.1-mini,baseline,RTP,toxicity_rate,0.0445,2000,2000,
